row_id,day_hour,client_ip,no_get,no_post,no_head
0,01/22/2019 03,66.111.54.249,120,0,0
1,01/22/2019 03,2.177.12.140,66,0,0
2,01/22/2019 03,46.224.77.32,4,0,0
3,01/22/2019 03,178.253.33.51,23,0,0
4,01/22/2019 03,54.36.148.87,4,0,0
5,01/22/2019 03,207.46.13.104,20,0,0
6,01/22/2019 03,54.36.149.35,1,0,0
7,01/22/2019 03,54.36.148.18,4,0,0
8,01/22/2019 03,2.179.141.98,7,9,0
9,01/22/2019 03,51.15.15.54,4,0,0
10,01/22/2019 03,2.185.221.79,4,0,0
11,01/22/2019 03,5.62.206.249,4,0,0
12,01/22/2019 03,17.58.102.43,11,0,0
13,01/22/2019 03,204.18.198.248,26,0,0
14,01/22/2019 03,54.36.148.32,4,0,0
15,01/22/2019 03,157.55.39.245,12,0,0
16,01/22/2019 03,207.46.13.136,36,0,0
17,01/22/2019 03,66.249.66.194,85,0,0
18,01/22/2019 03,54.36.149.17,4,0,0
19,01/22/2019 03,54.36.148.232,4,0,0
20,01/22/2019 03,54.36.148.117,4,0,0
21,01/22/2019 03,40.77.167.129,38,0,0
22,01/22/2019 03,66.249.66.91,72,0,0
23,01/22/2019 03,54.36.149.70,2,0,0
24,01/22/2019 03,34.247.132.53,4,0,0
25,01/22/2019 03,31.56.96.51,75,0,0
26,01/22/2019 03,54.36.148.17,4,0,0
27,01/22/2019 03,5.78.198.52,31,29,0
28,01/22/2019 03,66.249.64.66,4,0,0
29,01/22/2019 03,207.46.13.115,23,0,0
30,01/22/2019 03,172.20.2.174,4,0,0
31,01/22/2019 03,5.160.157.20,5,0,0
32,01/22/2019 03,54.36.149.92,4,0,0
33,01/22/2019 03,5.78.180.75,4,0,0
34,01/22/2019 03,89.199.193.251,4,0,0
35,01/22/2019 03,91.99.72.15,50,0,0
36,01/22/2019 03,54.36.148.10,4,0,0
37,01/22/2019 03,54.36.148.161,2,0,0
38,01/22/2019 03,173.249.54.67,18,0,0
39,01/22/2019 03,54.36.149.63,4,0,0
40,01/22/2019 03,104.194.24.33,4,0,0
41,01/22/2019 03,5.209.200.218,76,0,0
42,01/22/2019 03,54.36.149.41,4,0,0
43,01/22/2019 03,5.211.97.39,99,0,12
44,01/22/2019 03,5.112.52.254,8,0,0
45,01/22/2019 04,5.211.97.40,8,2,6
46,01/22/2019 04,2.177.12.141,1,2,2
47,01/22/2019 04,204.18.198.249,0,2,0
48,01/22/2019 04,40.77.167.130,0,0,2
49,01/22/2019 04,66.249.66.195,6,3,6
50,01/22/2019 04,66.111.54.250,6,8,15
51,01/22/2019 04,5.209.200.219,3,2,2
52,01/22/2019 04,31.56.96.52,10,0,3
53,01/22/2019 04,66.249.66.92,4,0,0
54,01/22/2019 04,2.179.141.99,3,3,2
55,01/22/2019 04,207.46.13.116,1,0,3
56,01/22/2019 04,178.253.33.52,0,1,0
57,01/22/2019 04,173.249.54.68,1,3,2
58,01/22/2019 04,54.36.148.162,0,0,2
59,01/22/2019 04,5.160.157.21,3,0,0
60,01/22/2019 04,54.36.149.71,0,0,2
61,01/22/2019 04,5.78.198.53,3,0,1
62,01/22/2019 04,207.46.13.137,1,3,2
63,01/22/2019 04,17.58.102.44,1,0,0
64,01/22/2019 04,91.99.72.16,2,6,6
65,01/22/2019 04,54.36.149.36,0,0,2
66,01/22/2019 05,207.46.13.117,0,0,1
67,01/22/2019 05,5.211.97.41,0,4,1
68,01/22/2019 05,5.209.200.220,0,0,1
69,01/22/2019 05,2.177.12.142,0,0,1
70,01/22/2019 05,54.36.149.37,0,0,1
71,01/22/2019 05,207.46.13.138,2,0,0
72,01/22/2019 05,66.111.54.251,1,0,2
